id,ko,comp,home,away,h_cur_n,a_cur_n,h_cur_ppg,a_cur_ppg,h_cross_ppg,a_cross_ppg,h_venue_ppg,a_venue_ppg,h_cur_gf,a_cur_gf,h_cur_ga,a_cur_ga,h_cross_xg,a_cross_xg,h_cross_xga,a_cross_xga,h_venue_xg,a_venue_xg,h_venue_xga,a_venue_xga,h_cur_o25,a_cur_o25,h_cross_o25,a_cross_o25,h_venue_o25,a_venue_o25,h_cur_btts,a_cur_btts,h_venue_btts,a_venue_btts,h_cur_shots,a_cur_shots,h_cur_sot,a_cur_sot,h_elo,a_elo,elo_delta,h_elo_match,a_elo_match
DISC_ed9ad6237931,2026-09-13T13:00:00.000+00:00,Premier League,Coventry City,Brighton & Hove Albion,3.0,3.0,0.0,1.3333333333333333,0.0,1.4,0.0,0.8,0.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,,1.6795897142857146,,1.3416895714285713,,1.5781549999999998,,1.56240875,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7,0.0,0.6,0.0,0.6666666666666666,0.0,0.6,9.0,18.666666666666668,2.3333333333333335,5.666666666666667,,,,,
DISC_d5a189b217a6,2026-09-13T15:30:00.000+00:00,Premier League,Manchester United,Manchester City,3.0,3.0,1.3333333333333333,3.0,2.0,2.3,2.4,2.2,2.3333333333333335,2.3333333333333335,2.0,0.6666666666666666,1.908030571428571,2.3460457142857143,1.4783454285714284,1.4574937142857143,2.5138775000000004,2.1258749999999997,1.7818324999999995,1.398824,0.6666666666666666,0.6666666666666666,0.7,0.7,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0.6,22.666666666666668,15.333333333333334,6.333333333333333,6.333333333333333,,,,,
DISC_ba772c73b7d3,2026-09-13T13:30:00+0000,Bundesliga,RB Leipzig,Hamburger SV,2.0,2.0,1.5,0.0,2.1,0.8,3.0,0.8,2.0,0.0,1.5,3.5,2.37317125,1.23199525,1.7206811249999998,2.654385875,3.0849900000000003,0.8973755,0.8755757500000002,2.3862755,1.0,0.5,0.9,0.7,0.8,0.6,0.5,0.0,0.4,0.6,22.0,8.0,8.0,2.0,,,,,
DISC_be4f585ca9d1,2026-09-13T15:30:00+0000,Bundesliga,SV Elversberg,FC Bayern München,2.0,2.0,3.0,2.0,3.0,2.6,3.0,2.6,3.5,2.5,2.5,0.5,,3.3314850000000003,,1.717721,,2.7282425,,2.22366075,1.0,0.5,1.0,0.8,1.0,0.6,1.0,0.5,1.0,0.4,12.5,18.0,8.0,7.0,,,,,
DISC_4bdbfceda903,2026-09-13T12:00:00+00:00,La Liga,Celta,Málaga CF,5.0,4.0,0.6,0.5,1.3,0.5,1.2,0.0,0.4,0.25,1.0,1.75,1.1166198,,1.9243150000000004,,1.6609466666666666,,1.310945,,0.2,0.25,0.3,0.25,0.6,0.5,0.4,0.25,0.6,0.0,8.4,10.5,2.4,1.75,,,,,
DISC_2982bd7fa24f,2026-09-13T14:15:00+00:00,La Liga,Levante UD,FC Barcelona,4.0,4.0,1.25,3.0,1.5,2.4,3.0,1.8,1.25,4.25,1.25,0.5,2.0084585,1.4314226666666663,1.343129,1.0384186666666668,2.62585,1.0724486666666666,0.41863749999999994,1.3584233333333333,0.5,0.75,0.6,0.6,0.4,0.8,0.25,0.25,0.4,0.4,11.25,21.0,3.5,9.0,,,,,
DISC_7b2f157737a3,2026-09-13T16:30:00+00:00,La Liga,Getafe CF,RC Deportivo,4.0,4.0,1.0,2.0,1.1,2.0,2.0,2.0,0.5,2.0,1.25,1.25,0.9242613166666668,,0.9133400000000002,,1.1458023333333334,,0.7220893333333335,,0.25,0.5,0.2,0.5,0.2,0.5,0.25,1.0,0.4,1.0,9.75,8.25,1.5,3.5,,,,,
DISC_40af2de08d89,2026-09-13T19:00:00+00:00,La Liga,Real Sociedad,Atlético de Madrid,5.0,4.0,1.4,1.75,1.0,1.9,1.0,1.8,1.2,1.75,1.6,1.5,1.1841346,2.197486666666667,1.9862859999999998,1.5429770000000003,1.956603333333333,1.7375300000000002,1.3325176666666667,1.9977903333333333,0.6,0.75,0.5,0.6,0.6,0.8,0.6,0.5,0.6,0.6,13.0,15.25,5.4,5.0,,,,,
DISC_cfd626be78a3,2026-09-13T13:00:00.000+00:00,Serie A,Lecce,Monza,3.0,3.0,1.0,0.3333333333333333,1.4,0.4,0.8,0.8,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.2896684285714286,0.8706498571428571,1.707129285714286,1.8422171428571426,1.24867825,0.9233533333333334,1.70495275,1.5323766666666667,0.3333333333333333,0.6666666666666666,0.3,0.5,0.4,0.4,0.0,1.0,0.2,0.6,9.666666666666666,12.666666666666666,3.6666666666666665,4.333333333333333,,,,,
DISC_d88fcbd35b1b,2026-09-13T16:00:00.000+00:00,Serie A,Napoli,Bologna,3.0,3.0,1.0,0.3333333333333333,1.4,1.2,1.2,1.8,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.4465400000000002,1.1977407142857144,1.1360337142857142,1.1323349999999999,1.6358779999999997,1.1577837500000001,1.31975875,1.2679152500000002,0.6666666666666666,0.3333333333333333,0.5,0.3,0.6,0.4,0.6666666666666666,0.3333333333333333,0.4,0.4,14.0,17.0,4.333333333333333,4.333333333333333,,,,,
DISC_dc57b43aa0ce,2026-09-13T18:45:00.000+00:00,Serie A,Sassuolo,Juventus,3.0,3.0,1.3333333333333333,2.3333333333333335,1.1,1.9,2.4,2.2,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6950572857142856,1.7647724285714284,1.4765561428571428,0.8037558571428571,1.7791175,1.5319467499999997,1.01854825,1.01574175,1.0,0.0,0.7,0.1,0.8,0.2,1.0,0.3333333333333333,0.8,0.2,18.666666666666668,18.333333333333332,7.0,5.333333333333333,,,,,
DISC_ac52e97e7c57,2026-09-13T13:00:00.000+00:00,Ligue 1,Lille,Troyes,3.0,3.0,2.3333333333333335,1.3333333333333333,2.1,1.3333333333333333,1.2,3.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6605767142857142,,0.6331910000000001,,1.843973,,0.38352575,,0.3333333333333333,0.6666666666666666,0.3,0.6666666666666666,0.4,1.0,0.3333333333333333,0.6666666666666666,0.4,1.0,10.0,15.666666666666666,6.0,3.3333333333333335,,,,,
DISC_dfe40552ce32,2026-09-13T15:15:00.000+00:00,Ligue 1,Le Mans,Lens,3.0,3.0,0.6666666666666666,1.0,0.6666666666666666,1.4,1.0,1.0,1.6666666666666667,2.0,2.0,1.6666666666666667,,2.1383767142857146,,1.3118987142857141,,1.8066682499999998,,1.648431,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,1.0,0.8,1.0,0.6666666666666666,1.0,0.6,9.333333333333334,15.333333333333334,4.333333333333333,7.333333333333333,,,,,
DISC_11aaceefe13e,2026-09-13T18:45:00.000+00:00,Ligue 1,Brest,Paris Saint-Germain,3.0,3.0,1.6666666666666667,0.6666666666666666,0.8,1.5,0.6,1.6,2.0,1.6666666666666667,1.6666666666666667,2.0,1.2465107142857141,2.124568571428571,2.033805,1.3745001428571428,1.8095210000000002,1.6035899999999998,2.1993574999999996,2.1150056666666663,1.0,1.0,0.7,0.8,0.8,0.8,1.0,1.0,1.0,0.6,23.666666666666668,20.0,7.666666666666667,6.333333333333333,,,,,
